description,amount,category
Electricity bill via Debit Card (GPay),15344,Bills
Wallet transfer via Debit Card (HDFC),18932,Transfer
Gas bill via UPI (Axis Bank),18595,Bills
NEFT transfer via Debit Card (Kotak),16355,Transfer
Internet recharge via Credit Card (ICICI),6990,Bills
Ajio shopping via Debit Card (ICICI),10986,Shopping
IMPS transfer via Debit Card (SBI),83,Transfer
Broadband bill via Credit Card (Axis Bank),17518,Bills
IMPS transfer via Net Banking (HDFC),17279,Transfer
Dominos order via UPI (GPay),12724,Food
Clothing purchase via Credit Card (Axis Bank),15485,Shopping
Petrol pump via Cash (GPay),6756,Travel
Health insurance premium via Credit Card (PhonePe),17691,Healthcare
Mobile recharge via Debit Card (GPay),17002,Bills
KFC meal via Credit Card (HDFC),3249,Food
Crypto purchase via Debit Card (ICICI),13968,Investment
Game purchase via Credit Card (SBI),12097,Entertainment
Doctor visit via UPI (HDFC),2953,Healthcare
Netflix subscription via Debit Card (GPay),16965,Entertainment
Bank transfer via UPI (GPay),8458,Transfer
Auto fare via Debit Card (GPay),10733,Travel
Spotify subscription via Cash (Axis Bank),10074,Entertainment
Supermarket shopping via Debit Card (Paytm),5731,Shopping
Course fee via Cash (SBI),9396,Education
FD investment via Net Banking (HDFC),19475,Investment
Health insurance premium via Net Banking (Axis Bank),15711,Healthcare
Doctor visit via Debit Card (SBI),11806,Healthcare
Bank transfer via UPI (Kotak),876,Transfer
Street food via Cash (Kotak),5159,Food
Online certification via Debit Card (Kotak),14036,Education
SIP investment via Net Banking (HDFC),4901,Investment
Electricity bill via UPI (Paytm),6539,Bills
Uber ride via UPI (Kotak),1473,Travel
Mutual fund purchase via Debit Card (Axis Bank),4795,Investment
Diagnostic test via Credit Card (Axis Bank),7231,Healthcare
Dominos order via Cash (Kotak),4874,Food
Flight booking via Net Banking (PhonePe),3482,Travel
Supermarket shopping via Net Banking (Axis Bank),9212,Shopping
Spotify subscription via Debit Card (ICICI),4293,Entertainment
Course fee via UPI (SBI),11033,Education
Online certification via Cash (SBI),9088,Education
Restaurant dinner via Debit Card (Axis Bank),15970,Food
Movie ticket via Debit Card (GPay),7887,Entertainment
Swiggy order via Net Banking (Axis Bank),18302,Food
Mobile recharge via Debit Card (HDFC),1803,Bills
Metro ticket via Net Banking (SBI),4214,Travel
KFC meal via UPI (GPay),17787,Food
NEFT transfer via Net Banking (Kotak),200,Transfer
Theme park ticket via Cash (Paytm),4187,Entertainment
YouTube Premium via Debit Card (GPay),16387,Entertainment
Rapido ride via Cash (PhonePe),16908,Travel
Netflix subscription via Credit Card (Paytm),18552,Entertainment
Course fee via Net Banking (ICICI),5990,Education
Diagnostic test via Net Banking (HDFC),13555,Healthcare
Theme park ticket via Cash (PhonePe),5637,Entertainment
KFC meal via Credit Card (SBI),10581,Food
Restaurant dinner via Credit Card (HDFC),19568,Food
FD investment via Cash (Axis Bank),10485,Investment
Bus fare via Credit Card (PhonePe),12988,Travel
Crypto purchase via Debit Card (SBI),8783,Investment
Street food via Debit Card (SBI),7283,Food
NEFT transfer via Net Banking (Axis Bank),19572,Transfer
Pizza order via Debit Card (Axis Bank),18175,Food
FD investment via Debit Card (HDFC),4205,Investment
Diagnostic test via Debit Card (Axis Bank),3283,Healthcare
Metro ticket via Debit Card (HDFC),8665,Travel
IMPS transfer via Debit Card (PhonePe),10183,Transfer
DTH recharge via Cash (ICICI),19586,Bills
Water bill via Credit Card (HDFC),19002,Bills
Electricity bill via Cash (Kotak),7230,Bills
PPF deposit via Credit Card (SBI),6570,Investment
Restaurant dinner via UPI (Axis Bank),4625,Food
UPI transfer via UPI (ICICI),18590,Transfer
Hospital checkup via Credit Card (GPay),758,Healthcare
Netflix subscription via Net Banking (HDFC),5826,Entertainment
Water bill via Credit Card (PhonePe),13618,Bills
IMPS transfer via Debit Card (ICICI),1208,Transfer
Crypto purchase via Net Banking (HDFC),6787,Investment
Health insurance premium via Cash (GPay),16272,Healthcare
Flipkart order via UPI (ICICI),10517,Shopping
Course fee via Net Banking (SBI),19308,Education
Doctor visit via Cash (Kotak),16942,Healthcare
Local market purchase via UPI (Axis Bank),13733,Shopping
Local market purchase via UPI (Axis Bank),6265,Shopping
Stock investment via UPI (Axis Bank),3561,Investment
Diesel refill via Cash (ICICI),1205,Travel
NEFT transfer via Debit Card (GPay),440,Transfer
SIP investment via Cash (PhonePe),12796,Investment
Online certification via Debit Card (PhonePe),6381,Education
PPF deposit via UPI (Paytm),5385,Investment
Mobile recharge via UPI (PhonePe),7015,Bills
Medical store purchase via Debit Card (SBI),19235,Healthcare
Clothing purchase via Debit Card (Paytm),3887,Shopping
Supermarket shopping via Credit Card (HDFC),11276,Shopping
Electronics purchase via UPI (HDFC),13370,Shopping
Udemy course via Credit Card (ICICI),591,Education
Gas bill via Credit Card (PhonePe),16408,Bills
Electronics purchase via Cash (ICICI),12287,Shopping
Internet recharge via UPI (Paytm),1259,Bills
FD investment via Debit Card (GPay),16530,Investment
RTGS transfer via Debit Card (SBI),13461,Transfer
Train ticket via UPI (GPay),9775,Travel
SIP investment via Debit Card (PhonePe),15573,Investment
DTH recharge via UPI (PhonePe),12383,Bills
Auto fare via Debit Card (PhonePe),9977,Travel
Bakery purchase via Net Banking (GPay),18806,Food
UPI transfer via Net Banking (HDFC),8488,Transfer
Electricity bill via Cash (Axis Bank),12028,Bills
Metro ticket via Net Banking (GPay),8303,Travel
Stock investment via Cash (Paytm),8237,Investment
RTGS transfer via Debit Card (Paytm),16677,Transfer
Petrol pump via Credit Card (HDFC),1119,Travel
Restaurant dinner via Net Banking (PhonePe),9652,Food
DTH recharge via Credit Card (Axis Bank),12038,Bills
Pharmacy bill via UPI (SBI),19691,Healthcare
Crypto purchase via Cash (HDFC),11684,Investment
Udemy course via Debit Card (GPay),13216,Education
NEFT transfer via Net Banking (GPay),12071,Transfer
Spotify subscription via Cash (HDFC),7179,Entertainment
Medical store purchase via Cash (Kotak),13720,Healthcare
Credit card bill via Credit Card (Paytm),5192,Bills
Bus fare via Debit Card (Kotak),8825,Travel
Restaurant dinner via Debit Card (ICICI),11293,Food
UPI transfer via Net Banking (ICICI),2924,Transfer
Diagnostic test via UPI (Paytm),14889,Healthcare
Swiggy order via UPI (Axis Bank),7080,Food
Metro ticket via UPI (HDFC),17774,Travel
Movie ticket via Credit Card (PhonePe),9301,Entertainment
Petrol pump via UPI (Kotak),97,Travel
Crypto purchase via Net Banking (ICICI),5742,Investment
PPF deposit via Credit Card (SBI),19406,Investment
RTGS transfer via Cash (Kotak),10063,Transfer
Bank transfer via Debit Card (ICICI),19608,Transfer
Myntra order via Cash (SBI),6634,Shopping
Uber ride via Debit Card (ICICI),9909,Travel
DTH recharge via UPI (PhonePe),1173,Bills
Movie ticket via Cash (ICICI),7469,Entertainment
Coaching class fee via Cash (PhonePe),4128,Education
Hospital checkup via Cash (GPay),15134,Healthcare
Udemy course via Debit Card (ICICI),19256,Education
Hospital checkup via UPI (HDFC),5850,Healthcare
Grocery shopping via UPI (PhonePe),17175,Food
NEFT transfer via Credit Card (SBI),16916,Transfer
Zomato food delivery via Net Banking (PhonePe),6161,Food
Wallet transfer via Debit Card (SBI),13171,Transfer
PPF deposit via UPI (ICICI),17751,Investment
College fee via Debit Card (Paytm),13740,Education
Diagnostic test via Debit Card (ICICI),13493,Healthcare
Netflix subscription via UPI (GPay),11066,Entertainment
YouTube Premium via Credit Card (HDFC),8453,Entertainment
Game purchase via UPI (GPay),14270,Entertainment
Ajio shopping via Net Banking (HDFC),9232,Shopping
Train ticket via Net Banking (ICICI),534,Travel
Spotify subscription via UPI (Paytm),19717,Entertainment
Doctor visit via Debit Card (PhonePe),15905,Healthcare
Netflix subscription via Cash (PhonePe),2544,Entertainment
Electronics purchase via Cash (GPay),4036,Shopping
Crypto purchase via UPI (GPay),2094,Investment
Restaurant dinner via Cash (Axis Bank),57,Food
Udemy course via UPI (HDFC),14506,Education
Doctor visit via Cash (GPay),13549,Healthcare
Hospital checkup via Net Banking (HDFC),12474,Healthcare
Electronics purchase via Debit Card (PhonePe),14218,Shopping
Online certification via Cash (HDFC),15938,Education
Myntra order via Credit Card (ICICI),7464,Shopping
Ajio shopping via Credit Card (Paytm),8077,Shopping
Health insurance premium via Cash (Kotak),4165,Healthcare
Diesel refill via Net Banking (PhonePe),11461,Travel
Swiggy order via Cash (PhonePe),429,Food
Broadband bill via Cash (GPay),14675,Bills
Myntra order via Debit Card (ICICI),6853,Shopping
Concert ticket via Debit Card (ICICI),8762,Entertainment
Amazon shopping via Debit Card (PhonePe),18236,Shopping
Dominos order via Net Banking (PhonePe),612,Food
Stock investment via Credit Card (HDFC),11198,Investment
Pizza order via Net Banking (Kotak),5462,Food
Game purchase via Credit Card (SBI),6668,Entertainment
Electronics purchase via UPI (Axis Bank),16136,Shopping
Medical store purchase via Cash (ICICI),18303,Healthcare
Game purchase via Credit Card (Axis Bank),4710,Entertainment
Game purchase via UPI (Paytm),5497,Entertainment
Cafe coffee via Net Banking (HDFC),12807,Food
Electricity bill via Credit Card (HDFC),18226,Bills
Zomato food delivery via Debit Card (PhonePe),8161,Food
RTGS transfer via Credit Card (HDFC),14712,Transfer
Diesel refill via Cash (Axis Bank),2369,Travel
DTH recharge via UPI (ICICI),19156,Bills
Cafe coffee via Debit Card (SBI),13594,Food
PPF deposit via Cash (HDFC),11065,Investment
RTGS transfer via Credit Card (PhonePe),9828,Transfer
Movie ticket via Net Banking (ICICI),843,Entertainment
Diesel refill via Credit Card (HDFC),15877,Travel
Supermarket shopping via Credit Card (Kotak),4303,Shopping
Cafe coffee via Credit Card (PhonePe),6237,Food
Clothing purchase via Debit Card (Axis Bank),8656,Shopping
Mutual fund purchase via Cash (Paytm),10142,Investment
Online certification via Credit Card (HDFC),2665,Education
Auto fare via Credit Card (ICICI),14749,Travel
SIP investment via Net Banking (SBI),15142,Investment
Dominos order via Cash (GPay),19282,Food
Theme park ticket via Net Banking (Paytm),5165,Entertainment
Stock investment via Debit Card (PhonePe),18868,Investment
Uber ride via Debit Card (ICICI),4896,Travel
Doctor visit via Cash (ICICI),7754,Healthcare
Movie ticket via Credit Card (Paytm),2640,Entertainment
Swiggy order via Cash (HDFC),7642,Food
Course fee via Credit Card (GPay),15499,Education
UPI transfer via Cash (HDFC),11073,Transfer
Mutual fund purchase via Debit Card (Kotak),4324,Investment
Dominos order via Credit Card (SBI),17545,Food
Crypto purchase via UPI (HDFC),15383,Investment
College fee via Credit Card (SBI),7594,Education
Book purchase via Net Banking (SBI),8232,Education
Concert ticket via Cash (Paytm),2977,Entertainment
College fee via UPI (GPay),2049,Education
Grocery shopping via Debit Card (Paytm),10700,Food
Auto fare via UPI (Paytm),3219,Travel
Movie ticket via UPI (Paytm),11298,Entertainment
Netflix subscription via Debit Card (SBI),13692,Entertainment
Health insurance premium via Cash (Axis Bank),9144,Healthcare
Mutual fund purchase via Cash (Kotak),14449,Investment
Crypto purchase via UPI (Axis Bank),4062,Investment
UPI transfer via Credit Card (GPay),7159,Transfer
Broadband bill via Credit Card (Paytm),19416,Bills
Metro ticket via Credit Card (PhonePe),4999,Travel
PPF deposit via UPI (ICICI),2765,Investment
Petrol pump via UPI (GPay),8063,Travel
Diagnostic test via Net Banking (SBI),8824,Healthcare
Cafe coffee via Debit Card (Kotak),11714,Food
PPF deposit via Cash (ICICI),8331,Investment
Book purchase via Net Banking (GPay),17809,Education
Myntra order via Credit Card (Axis Bank),15168,Shopping
Amazon shopping via Credit Card (PhonePe),6201,Shopping
Petrol pump via Cash (GPay),14053,Travel
Gas bill via UPI (Axis Bank),3918,Bills
Dominos order via Net Banking (ICICI),18696,Food
Ajio shopping via Credit Card (Kotak),19834,Shopping
Broadband bill via UPI (Paytm),2109,Bills
PPF deposit via Credit Card (GPay),3049,Investment
Clothing purchase via Credit Card (Kotak),16873,Shopping
College fee via UPI (ICICI),264,Education
Movie ticket via Debit Card (Axis Bank),13216,Entertainment
UPI transfer via Debit Card (SBI),2962,Transfer
Stock investment via Cash (Axis Bank),1927,Investment
Myntra order via Debit Card (PhonePe),2242,Shopping
KFC meal via Cash (Paytm),5270,Food
Mobile recharge via Net Banking (HDFC),15495,Bills
Doctor visit via Cash (SBI),4474,Healthcare
Ola cab via UPI (HDFC),11880,Travel
Diesel refill via Credit Card (Paytm),2157,Travel
Ola cab via Cash (ICICI),7239,Travel
Flipkart order via Net Banking (HDFC),13872,Shopping
Pizza order via Net Banking (SBI),9385,Food
Crypto purchase via Debit Card (Kotak),14300,Investment
Diagnostic test via UPI (HDFC),7468,Healthcare
Supermarket shopping via Net Banking (SBI),18833,Shopping
